Point	Value
1236	6467.79137866
674	6458.49255358
609	6440.73748333
429	6283.61864338
527	6184.10260709
1231	6173.84023934
456	6151.92215803
463	6151.03174271
221	6002.44112587
69	5913.63783105
245	5860.97794963
781	5847.14755907
56	5773.43815493
538	5716.52579877
234	5692.96728701
131	5690.33485394
815	5652.17053848
326	5648.59813382
1556	5615.82782318
1260	5593.38230623
561	5588.67808167
596	5582.341165
938	5577.68014813
1346	5534.68589834
1034	5517.94214387
242	5482.55289817
1393	5456.97538746
673	5420.69979907
1167	5416.67108965
542	5380.52132072
132	5337.11813869
1580	5316.75264567
779	5312.66606449
1509	5307.86571419
928	5273.40007538
765	5207.65593868
1577	5204.1254242
1246	5201.98321608
1489	5176.05460508
377	5138.40270281
640	5113.15361165
712	5078.5401279
582	4990.46547334
831	4982.91232908
1190	4976.18609559
353	4942.15964997
337	4941.05450649
392	4899.84494145
143	4862.24528662
1665	4844.90292702
569	4808.74513736
1026	4775.68108654
881	4707.96335346
770	4669.21524856
481	4666.60817164
1042	4637.32836359
1440	4548.67207653
479	4539.70523313
830	4515.23924167
462	4507.96360511
78	4482.39828437
547	4459.53984807
191	4410.60261884
621	4379.00183798
835	4365.67392954
345	4312.57660307
1285	4298.16935621
257	4287.41735305
518	4274.02866877
1103	4273.9779277
681	4214.32000026
402	4199.14846889
1749	4172.57982032
1343	4138.13685088
792	4131.03802642
706	4085.7668686
460	4083.18839899
1712	4042.95757004
1013	4040.17172566
228	4028.57846484
48	4024.93978755
595	3956.52928098
88	3953.86697124
758	3888.46126199
1436	3882.34932229
1014	3858.60941569
514	3841.02649849
799	3821.57180319
1406	3818.40481044
878	3808.01884096
762	3787.05124548
1644	3762.81754883
686	3753.72938691
294	3675.94027423
607	3661.88959714
1792	3635.61906129
625	3595.73311114
1000	3586.09799485
1244	3582.87905873
1062	3560.79884249
29	3553.49875712
1168	3493.92235114
343	3476.69321252
224	3473.33134805
1039	3428.50549088
1413	3387.01541074
919	3383.3140515
1781	3382.13124289
1158	3370.09631396
319	3322.21257996
1050	3320.24266872
1647	3315.65911015
1118	3312.25213791
338	3287.91423557
358	3277.80004198
289	3275.93917346
1362	3273.04169934
1217	3259.57363906
316	3254.61787299
841	3239.47678187
135	3238.27171865
853	3217.59885511
590	3208.45540216
1429	3197.42695902
34	3194.47321823
546	3192.55873035
714	3186.65228472
341	3154.02313288
68	3152.68662932
1421	3135.09155928
1472	3119.79825825
371	3105.27754604
1800	3086.42095719
710	3085.78091616
777	3079.46381194
84	3075.11028822
1029	3058.81295851
627	3037.1257826
296	3018.26413406
288	3008.76999716
517	2984.64968616
183	2975.23194947
1215	2958.03130928
1507	2952.49284883
606	2937.3822484
1181	2925.30189107
349	2885.88589911
926	2885.28762059
1572	2883.21347951
437	2879.52369029
394	2875.24794698
356	2872.23454141
1312	2872.14134084
1302	2845.61634459
1603	2841.34003126
282	2840.88253862
817	2839.38042874
1836	2833.02414671
620	2830.07338205
1434	2818.75584943
1648	2794.27916606
448	2781.62755113
378	2768.30161833
1340	2759.0688846
567	2758.80068309
1657	2755.66268732
834	2746.28391324
950	2731.47642301
1234	2728.04728932
96	2725.74567769
1487	2677.34675481
1796	2672.14642363
557	2642.92002211
787	2618.33774829
339	2612.15575844
118	2611.16560156
616	2606.28251203
396	2581.71395466
1136	2577.05959207
1117	2564.17465563
1317	2549.93181172
525	2548.36137228
1184	2547.17663493
1138	2537.50929725
209	2534.97975846
814	2522.08037452
418	2518.87201804
1069	2518.35952497
272	2512.90432246
986	2473.98998679
109	2452.49941208
1284	2449.85709052
1056	2447.49359003
300	2432.31482949
794	2415.86909502
214	2410.0892421
964	2388.43678639
504	2384.42917955
994	2383.44863517
1032	2382.27696003
1502	2381.41165954
1365	2374.57266947
520	2360.25637176
1568	2346.05948375
409	2338.61199048
50	2325.32214917
592	2321.73450578
1235	2291.65684358
913	2290.06400207
1395	2269.70772692
274	2258.06368843
413	2257.71520616
603	2250.22897774
868	2216.25683178
379	2209.13611818
376	2208.64913863
1373	2201.86300747
1463	2201.29954296
1493	2192.13301864
1213	2190.57626623
1641	2176.33089388
1004	2170.17177164
151	2150.6121512
291	2149.74085039
334	2145.20806594
545	2131.91429551
991	2098.82946752
646	2096.44810219
468	2078.99081242
754	2078.73556585
350	2064.47979526
728	2063.11016815
1097	2042.95649035
721	1980.60764143
990	1968.27588569
233	1953.22976782
483	1951.24197724
939	1948.81105199
314	1939.89407854
540	1936.65936789
1655	1929.84908471
90	1876.12445492
739	1872.12102394
683	1865.73146951
975	1853.56117264
439	1842.42758373
952	1841.23053714
1748	1828.02588969
318	1821.49641602
177	1817.40358496
430	1814.55670177
1329	1814.39603374
1545	1810.09237131
971	1809.46442844
422	1808.93260895
391	1803.61598289
201	1798.40785302
738	1796.78030612
1256	1777.06528706
942	1773.78514808
788	1773.57904919
1023	1767.69045242
1052	1752.488014
447	1729.53762727
588	1728.85452473
1173	1727.38998912
808	1725.28328199
361	1725.20684566
1313	1722.38730666
1093	1721.07748406
1417	1702.52943642
1211	1687.54646064
451	1683.68920144
810	1682.75451935
1557	1681.88108882
1031	1681.76676666
978	1674.59753371
778	1667.39726636
1520	1666.07196593
1447	1657.02578318
819	1652.53412051
1573	1652.33154224
992	1625.13998374
1862	1619.48992675
1237	1600.03857181
1036	1593.21752778
1426	1591.16259206
643	1589.53213165
375	1588.32076038
1865	1574.83253219
774	1572.43278086
793	1553.81958666
85	1550.63376666
146	1546.64582176
1801	1544.2104786
307	1539.19171863
1522	1536.20175768
1621	1525.38542886
1248	1520.59389275
805	1520.11168259
1750	1510.66596289
516	1502.60828515
1771	1500.94659715
145	1500.06135554
1344	1484.71269986
408	1480.90208915
933	1471.40105283
73	1465.67805807
453	1464.90798042
594	1457.63508588
795	1451.98169364
800	1448.6021863
983	1439.38931032
47	1437.88784119
1517	1433.46808018
699	1421.79800324
1542	1416.59755615
367	1416.57970435
1756	1415.29311076
30	1412.64662621
1678	1411.79171959
1059	1398.3883449
305	1396.65639214
967	1389.93088443
1186	1389.08996425
1514	1384.2832067
1128	1373.31900346
94	1370.05025374
160	1367.02640836
401	1365.30328986
8	1365.12675159
492	1360.34140446
187	1359.06571403
1474	1358.77834475
477	1356.85421077
973	1356.78380413
1132	1355.30758666
747	1351.13511367
164	1350.25942723
494	1348.82168694
124	1347.87271024
181	1346.87771169
958	1345.83416005
934	1336.81145674
869	1331.89179896
962	1331.67784902
1872	1330.17555454
449	1329.87169808
899	1329.77348251
442	1323.28959982
445	1320.91728414
1608	1320.81393615
1553	1316.72860054
1400	1311.84504218
581	1310.9812973
705	1309.49038575
1060	1308.58054622
1091	1303.69871524
1669	1302.30919183
1831	1296.96303072
600	1289.48604895
1249	1288.11734694
1611	1288.0
54	1286.5
304	1281.11925193
299	1277.21051146
1076	1276.86021109
539	1269.47770752
140	1260.60907076
189	1259.91860182
544	1257.27722278
38	1250.79959459
185	1236.87389418
469	1229.86734099
163	1225.26271686
438	1223.86620137
876	1223.06325988
184	1210.25245238
20	1199.35734973
700	1198.51753997
388	1194.28837181
1359	1182.06500236
1291	1168.08739703
407	1167.10108117
943	1162.06725763
573	1150.27366404
1354	1146.3593542
370	1146.00774108
1403	1145.38445962
1006	1112.03953006
966	1109.58966684
752	1099.54008917
1224	1095.94591758
1510	1085.01029569
563	1079.65078058
312	1064.41774891
632	1063.25049137
120	1048.63270667
1866	1047.29731892
1437	1041.05559012
423	1022.66308951
365	1014.09972694
740	1011.10080846
1468	999.588354535
1356	983.987363672
560	982.583408706
405	976.819957777
503	972.88366696
1518	949.67704422
1049	942.227357446
256	937.581021434
1412	931.897922942
236	928.709692233
1698	923.150143388
1270	901.395049598
583	899.197641334
735	897.723756731
1131	896.883571561
1730	895.153490808
386	892.395532822
1788	891.115103063
549	890.415455544
1680	890.172236092
1521	870.72837422
599	869.53540147
1130	864.728784581
601	858.561482527
658	854.387275752
335	852.476400297
114	840.334213539
1497	822.83494183
1068	815.755579371
1444	800.00481249
1342	798.481522418
1126	796.79176098
1424	792.01618056
940	789.703150278
303	783.817963163
859	781.570848225
311	777.754355773
993	777.424589744
1793	774.649427967
285	774.460784719
119	773.213169814
127	772.178487437
1578	770.876492089
766	756.428806217
1379	730.15630711
488	728.402040453
1297	725.811132898
155	722.938296679
659	714.454100541
802	713.017134706
1326	712.623257955
649	699.477402315
1328	686.651326791
970	680.189838132
329	679.615122719
26	676.816766456
593	673.390901675
974	672.173668633
1789	666.362208159
332	665.124212694
901	664.68892652
1227	661.77999058
1431	659.927851076
1619	655.237468475
1349	654.29244832
1308	652.42394471
882	645.596470475
1187	644.508671029
1739	632.760150053
1387	625.659913597
838	619.510214204
749	612.838115182
70	610.890825776
645	602.203263223
1576	586.029502729
1423	584.030907504
180	582.77063466
534	578.908330263
1375	575.401710063
716	574.731515627
1383	570.176433885
884	568.395390533
1198	563.233100332
1169	556.985140205
874	555.892577805
443	544.904295671
676	534.497066979
1358	534.161457007
861	532.336772502
801	532.216527484
1397	531.573465859
915	530.050785218
1868	528.675002982
1717	526.207504666
286	523.538044741
903	520.615432426
864	516.940906236
174	514.56157747
278	514.363322108
366	513.77121191
1214	513.382905131
537	511.390402288
440	506.844480794
826	506.329492683
324	505.415109538
688	504.552809573
1381	503.866061663
924	501.240473635
1449	493.761624213
1174	493.478901349
635	491.063056733
1290	488.820155542
1485	488.480494584
1066	484.643585153
1377	482.461130606
551	475.874363408
908	473.591870026
385	468.318800265
1582	461.073401043
1105	451.24492237
1734	446.833106572
997	443.25854351
1652	441.414384584
944	441.37131012
276	440.730022105
1178	436.627659512
1083	435.509193415
99	433.826207573
570	431.101957782
93	430.481231433
1262	428.420800032
344	424.128559016
532	413.263181333
636	412.644536091
870	409.1994694
327	406.89384152
812	401.295418145
364	399.543143135
259	395.533415708
1182	390.177440553
298	388.215785522
173	386.449101545
741	384.919353348
161	384.190883819
1298	382.423523117
1649	374.743421356
496	369.253840154
1219	367.672011199
893	366.535295178
666	366.10535906
724	364.089320595
1111	364.053696082
1508	361.168828934
1180	360.899963269
949	357.768341674
1642	356.195216385
1241	352.577576096
727	350.06623791
1238	344.851195976
313	344.448514458
1310	344.212472404
507	342.887064162
1454	342.535061132
248	335.097332491
667	332.409985624
1107	332.093716711
1367	328.017668403
995	327.334741165
1737	326.927286639
988	324.578841141
1079	319.247861437
1272	317.454684207
487	316.361280522
622	313.386575115
355	310.503913639
497	308.321148924
125	302.326890289
821	300.382719084
1727	295.907095908
244	295.144200038
998	294.422342487
102	293.883120714
219	292.097686973
824	290.394655992
734	289.422181603
755	286.426032742
822	284.296566262
1587	283.697409051
657	282.165116272
1629	281.403792672
1146	275.206678088
60	268.875381576
1681	268.389452219
1688	267.679370416
1121	266.595458644
798	262.601859419
548	260.425828393
856	256.704007644
773	251.906033062
1408	251.458402984
359	250.461150898
597	249.722442396
851	249.402759383
1287	247.820293998
333	242.265769797
1410	242.21790411
1080	239.879345127
1551	237.696848151
404	237.201439731
543	234.746429114
1852	229.553152819
1716	229.190267136
731	228.231394557
1325	226.779533266
1137	226.579048078
1738	226.576442718
678	226.047553663
1038	224.041649629
1676	223.510604602
168	220.939716842
1441	220.048604254
1500	219.774799424
152	218.584206659
634	216.374576132
352	216.078254911
243	215.91695769
441	213.672426863
912	211.579526488
515	208.51852806
1252	207.146306848
736	206.867811518
574	205.06141335
1041	204.249690723
1646	203.565204233
121	201.399097424
886	198.301728744
689	197.729393669
771	197.269426299
846	195.830460532
767	194.927050556
271	194.131356809
842	190.076585204
203	184.805793792
980	184.657300079
239	183.439397232
589	183.380809049
1002	181.009707318
1019	180.802983381
1282	179.290121906
1268	178.545478249
1273	176.638331606
1247	175.639651364
1415	174.996746437
984	172.15499174
1335	171.261385025
818	169.905195497
591	167.692413666
1206	167.099681071
1371	166.684600718
985	165.23003825
290	165.194098168
154	164.832267283
1163	164.530628611
1254	164.232190136
1496	163.3331659
315	162.374297636
1550	162.165083517
235	161.296288521
1673	159.490073311
865	159.210207571
1626	157.635859609
1433	155.326358428
1427	155.27759371
923	153.811596068
1040	149.910826611
1700	148.263352467
651	147.76478119
1196	147.312036313
1114	147.018885254
1811	145.928252284
1686	145.346426458
1043	145.134845941
1100	144.455630049
999	142.176885012
541	141.156192055
198	140.942633645
1195	140.723222843
1005	140.163961667
104	138.076275426
963	138.021565824
785	135.799352393
883	134.702500606
1161	134.481368323
215	132.816333288
1636	132.686465768
552	131.629382926
1292	131.611506869
619	131.380467112
1274	126.545716315
732	126.441179959
1731	126.135025962
79	125.585183405
1295	124.529922415
1380	123.121865316
87	122.053731802
425	118.945589437
1548	118.466985098
1294	118.006233241
1513	117.207044279
1554	116.529543332
1476	115.939310724
1216	115.150685795
424	115.044957748
336	113.499823327
57	112.093974127
1058	111.765349506
1037	111.361172666
782	110.153065421
624	109.643195045
1124	108.806930653
1848	107.810325204
1742	107.272850773
776	106.791088922
46	105.730105963
1491	104.5664805
587	103.261396072
1378	101.728464052
363	100.285539212
836	99.9793131529
1746	98.8443470418
1209	98.3507826964
465	97.672231982
1675	94.2730148828
1154	93.7875351504
959	92.5066473296
1286	92.1227637027
1605	91.116773107
1350	90.7462219
675	90.6751397358
780	90.6258774251
562	90.6138768421
25	89.6426502686
1420	89.0968377644
1323	89.0219523395
1808	88.5789729473
1101	88.3679792003
1679	86.7294846572
790	86.368712608
1279	86.1291084871
466	84.4386638873
1480	83.2797520904
1129	81.2485654569
1592	81.0947982192
1207	80.1797450196
1271	79.6282122029
1074	79.3687551104
225	78.8335959216
1334	78.5829111205
484	78.4837134734
848	77.7703775191
610	76.9959786586
137	76.8469950576
1188	76.8271555492
1226	74.9985599157
351	73.6085638059
1467	73.0291254923
1526	72.7801879069
1637	72.5436962093
866	72.027253061
726	71.5788179522
1063	70.6215892639
373	68.5965940155
941	68.1801633615
1123	67.8709509648
1289	67.6932518062
885	66.875654134
1009	65.3600428475
1071	64.9033025196
111	64.7325608269
602	63.858143076
720	63.7266863028
1588	61.2080257749
75	60.747467388
921	60.5836967117
1438	60.2289746522
472	59.972687824
461	59.4055500476
83	58.6859396754
1319	57.5467404365
612	57.4646643106
1022	57.3224595237
1552	55.7278875036
374	55.3589209659
521	55.3066927823
473	53.4106967481
1078	53.1571581486
1461	52.5392464398
322	51.5452884544
1110	51.3193058512
585	50.2479757799
737	49.5823413222
1316	49.4124793682
1265	49.3519864749
421	49.2824830186
1171	48.8746879024
58	48.5934208883
1314	48.4778104114
1304	47.8639860094
432	47.7934891328
1320	47.7178565417
162	46.6079234047
1077	45.6609666077
1763	45.0853681523
1668	45.0533207807
1492	44.7932566624
1870	43.5177519579
1425	43.4486142939
953	43.162488961
660	42.8904806962
1419	42.4014060565
1744	42.2182906864
1008	41.9420399619
501	40.997276022
147	40.671423004
134	40.4921427298
1081	40.1461410513
434	39.0812315248
1051	38.8958462988
571	38.5499797301
1407	38.5005016943
1175	37.3296582716
1104	37.3267375671
1752	37.055161237
1239	36.7299930717
1384	36.4095216031
1398	35.9696759155
1627	35.8103333891
1401	35.4489638647
410	35.2934294635
927	34.9635399734
1879	34.4246787267
470	34.077343831
873	34.0097299181
1479	33.4942159013
1656	33.4605843554
920	33.2764576957
806	32.3551804154
698	31.6319881578
1875	31.1102701979
1355	30.6508722397
1003	30.5853494548
1315	30.5566560475
1065	30.4044449475
1435	28.8866847609
553	28.7246388643
1054	28.7227434418
1306	28.4880996943
1755	28.4707433973
403	28.0197210637
511	27.9238446108
917	27.5981100034
1070	27.5353908821
205	27.0322310991
416	26.6254781262
1075	26.3353865229
1452	25.3538994767
641	23.5670314775
761	23.0971153658
1754	22.9766851911
1352	22.5856828796
1566	22.2064139851
227	22.022928715
480	21.6671885231
1044	21.6540588794
1353	21.2916923958
222	20.492916164
757	20.4888879741
1099	20.1409725529
414	20.0541430219
237	19.8739654663
232	19.6764375977
828	19.6004240306
106	19.4669623571
80	19.3531230655
340	19.2483578983
1728	18.9169350205
273	18.8623444307
1336	18.6386662303
1386	18.4002133647
857	18.3151192429
961	17.8860406002
1501	17.8558944845
1725	17.8382768631
1364	17.6046962919
1376	17.5016711052
629	17.0436368459
1399	16.7075828441
1261	15.4556968648
1017	14.8683129767
98	13.787734964
1165	13.7318442261
1305	13.7138234021
981	13.650273276
1382	13.4566917747
467	13.1533134587
267	12.8169518156
1639	12.7994371858
535	12.6191804501
1503	12.5881326318
578	12.3700407436
811	12.3379398135
1368	11.9686611952
1579	11.8449677928
387	11.6546110546
1046	11.6379235186
1035	10.9635712449
1361	10.8538672656
1090	10.7761636743
956	10.6398971255
310	10.4634883423
86	10.4586977622
1504	10.2996549957
522	10.0031153203
554	9.81955252599
1564	9.71123434006
428	9.71015703264
1414	9.6150064624
457	9.54199848169
977	9.44232370644
1153	9.4401137245
348	9.37766340707
328	9.09762536348
932	8.73987458371
269	8.6534029361
91	8.40978598915
489	8.13256934977
1264	7.98536294687
1623	7.60147737861
1176	7.55740147974
1179	7.49255518636
1028	7.40027695305
715	7.01659640704
1225	6.97171198899
1220	6.94530038532
1864	6.68495866156
71	6.49485879792
1102	6.36723662542
190	6.30942188939
261	6.08317363114
1534	5.98879601394
1602	5.95999730393
580	5.93247738718
1561	5.78325170614
1446	5.44937377539
1202	5.19211315142
1094	5.1463040186
1321	5.12739243781
508	5.02182631539
1443	4.98827595664
1047	4.81852139719
1530	4.75700421219
1583	4.37679009976
1001	4.25385596592
677	4.0519013519
390	4.00793650794
186	4.0
665	3.7272616529
680	3.70348979207
395	3.64630119192
979	3.602842041
696	3.57035761962
559	3.35579655657
1194	3.16048602805
133	2.74374025352
264	2.66318589925
1177	2.57672459387
662	2.5
568	2.35313531353
347	2.30534026873
1374	2.14285714286
647	2.02535353535
611	2.01399582193
129	1.75299683039
1516	1.68841004459
1223	1.63149350649
614	1.20256736395
384	1.0
2	0.0
123	0.0
159	0.0
397	0.0
1779	0.0
1790	0.0
4	0.0
1192	0.0
1208	0.0
1288	0.0
1609	0.0
1620	0.0
1662	0.0
1711	0.0
1751	0.0
1795	0.0
31	0.0
1682	0.0
825	0.0
957	0.0
1015	0.0
1505	0.0
1645	0.0
33	0.0
59	0.0
77	0.0
130	0.0
179	0.0
1053	0.0
1232	0.0
1372	0.0
1385	0.0
1519	0.0
1683	0.0
1689	0.0
1692	0.0
1710	0.0
1809	0.0
1829	0.0
1838	0.0
1856	0.0
1857	0.0
40	0.0
81	0.0
37	0.0
55	0.0
89	0.0
110	0.0
112	0.0
113	0.0
156	0.0
879	0.0
784	0.0
1191	0.0
1558	0.0
1622	0.0
43	0.0
669	0.0
922	0.0
955	0.0
1139	0.0
1229	0.0
1266	0.0
1307	0.0
1309	0.0
1337	0.0
1357	0.0
1418	0.0
1428	0.0
1477	0.0
1482	0.0
1506	0.0
1512	0.0
1559	0.0
1597	0.0
1691	0.0
14	0.0
45	0.0
92	0.0
116	0.0
117	0.0
141	0.0
226	0.0
1846	0.0
1850	0.0
1851	0.0
100	0.0
115	0.0
208	0.0
149	0.0
251	0.0
265	0.0
284	0.0
213	0.0
246	0.0
255	0.0
769	0.0
138	0.0
558	0.0
1392	0.0
637	0.0
455	0.0
458	0.0
1007	0.0
1073	0.0
1164	0.0
1347	0.0
862	0.0
1016	0.0
35	0.0
707	0.0
756	0.0
7	0.0
122	0.0
1020	0.0
1495	0.0
1782	0.0
566	0.0
10	0.0
11	0.0
15	0.0
16	0.0
17	0.0
18	0.0
22	0.0
24	0.0
49	0.0
61	0.0
64	0.0
76	0.0
136	0.0
148	0.0
150	0.0
153	0.0
157	0.0
165	0.0
216	0.0
262	0.0
295	0.0
330	0.0
411	0.0
528	0.0
844	0.0
1197	0.0
1445	0.0
1450	0.0
1451	0.0
1453	0.0
1618	0.0
1640	0.0
1643	0.0
1650	0.0
1651	0.0
1701	0.0
1706	0.0
1719	0.0
1753	0.0
1759	0.0
1760	0.0
28	0.0
406	0.0
13	0.0
65	0.0
419	0.0
39	0.0
270	0.0
464	0.0
166	0.0
167	0.0
169	0.0
188	0.0
192	0.0
223	0.0
280	0.0
380	0.0
381	0.0
382	0.0
383	0.0
452	0.0
529	0.0
743	0.0
746	0.0
863	0.0
1589	0.0
1745	0.0
1828	0.0
331	0.0
476	0.0
530	0.0
354	0.0
832	0.0
126	0.0
577	0.0
107	0.0
1027	0.0
1055	0.0
1108	0.0
1116	0.0
1122	0.0
1125	0.0
1134	0.0
1141	0.0
1143	0.0
1144	0.0
1145	0.0
1147	0.0
1148	0.0
1149	0.0
1150	0.0
1151	0.0
1152	0.0
1156	0.0
1157	0.0
1276	0.0
1743	0.0
23	0.0
195	0.0
238	0.0
240	0.0
241	0.0
247	0.0
369	0.0
1200	0.0
1278	0.0
1761	0.0
486	0.0
531	0.0
684	0.0
820	0.0
202	0.0
196	0.0
197	0.0
200	0.0
217	0.0
218	0.0
898	0.0
1747	0.0
182	0.0
207	0.0
499	0.0
575	0.0
1084	0.0
1085	0.0
1086	0.0
210	0.0
279	0.0
1363	0.0
839	0.0
1430	0.0
1324	0.0
1351	0.0
1470	0.0
1525	0.0
1541	0.0
1708	0.0
1718	0.0
433	0.0
1610	0.0
628	0.0
1193	0.0
929	0.0
930	0.0
931	0.0
759	0.0
849	0.0
1011	0.0
1529	0.0
436	0.0
1674	0.0
1135	0.0
1293	0.0
872	0.0
1634	0.0
1882	0.0
1210	0.0
1212	0.0
1764	0.0
618	0.0
1837	0.0
987	0.0
1631	0.0
1774	0.0
564	0.0
772	0.0
1528	0.0
1515	0.0
816	0.0
1222	0.0
362	0.0
1687	0.0
1330	0.0
1348	0.0
1160	0.0
1251	0.0
1794	0.0
1847	0.0
1853	0.0
1230	0.0
1360	0.0
1703	0.0
1012	0.0
1481	0.0
1560	0.0
1218	0.0
1345	0.0
1499	0.0
1600	0.0
1318	0.0
1478	0.0
1707	0.0
1469	0.0
751	0.0
1448	0.0
1299	0.0
1563	0.0
1714	0.0
1784	0.0
1807	0.0
5	0.0
833	0.0
66	0.0
703	0.0
690	0.0
722	0.0
1024	0.0
82	0.0
139	0.0
158	0.0
420	0.0
446	0.0
478	0.0
512	0.0
519	0.0
764	0.0
1098	0.0
1133	0.0
1221	0.0
1390	0.0
1483	0.0
1664	0.0
1715	0.0
1803	0.0
1806	0.0
178	0.0
909	0.0
1112	0.0
1524	0.0
1833	0.0
1799	0.0
360	0.0
1106	0.0
21	0.0
108	0.0
170	0.0
533	0.0
1092	0.0
1296	0.0
1538	0.0
1767	0.0
1768	0.0
1769	0.0
1770	0.0
1776	0.0
1777	0.0
1277	0.0
907	0.0
982	0.0
1699	0.0
287	0.0
1549	0.0
1484	0.0
604	0.0
293	0.0
748	0.0
989	0.0
854	0.0
505	0.0
744	0.0
1095	0.0
1574	0.0
717	0.0
718	0.0
750	0.0
1705	0.0
471	0.0
1455	0.0
1591	0.0
729	0.0
1810	0.0
1654	0.0
1258	0.0
231	0.0
417	0.0
500	0.0
556	0.0
948	0.0
1702	0.0
1660	0.0
1201	0.0
1250	0.0
1391	0.0
804	0.0
877	0.0
880	0.0
1867	0.0
1389	0.0
1301	0.0
1659	0.0
1722	0.0
1581	0.0
1671	0.0
875	0.0
275	0.0
253	0.0
855	0.0
1388	0.0
1432	0.0
1615	0.0
1604	0.0
742	0.0
1462	0.0
996	0.0
650	0.0
1109	0.0
1498	0.0
1162	0.0
1341	0.0
1599	0.0
1876	0.0
1880	0.0
850	0.0
1394	0.0
1695	0.0
292	0.0
1787	0.0
450	0.0
1536	0.0
1830	0.0
490	0.0
524	0.0
565	0.0
1635	0.0
1817	0.0
1818	0.0
1819	0.0
1820	0.0
1821	0.0
1822	0.0
1823	0.0
1824	0.0
1825	0.0
1826	0.0
1827	0.0
572	0.0
702	0.0
1322	0.0
813	0.0
1067	0.0
1257	0.0
1841	0.0
1877	0.0
1889	0.0
1884	0.0
1885	0.0
1886	0.0
1887	0.0
1855	0.0
1861	0.0
1547	0.0
1785	0.0
1791	0.0
1878	0.0
682	0.0
579	0.0
1834	0.0
1835	0.0
584	0.0
550	0.0
459	0.0
444	0.0
613	0.0
887	0.0
888	0.0
889	0.0
890	0.0
891	0.0
892	0.0
894	0.0
895	0.0
896	0.0
897	0.0
900	0.0
902	0.0
904	0.0
905	0.0
910	0.0
911	0.0
630	0.0
775	0.0
960	0.0
976	0.0
1243	0.0
1456	0.0
1457	0.0
1458	0.0
1459	0.0
1460	0.0
320	0.0
916	0.0
763	0.0
623	0.0
1567	0.0
1709	0.0
914	0.0
1685	0.0
1115	0.0
1057	0.0
1170	0.0
526	0.0
1366	0.0
1890	0.0
1511	0.0
1690	0.0
860	0.0
1840	0.0
1842	0.0
1843	0.0
1849	0.0
1544	0.0
1593	0.0
1735	0.0
1757	0.0
1775	0.0
937	0.0
745	0.0
1275	0.0
1667	0.0
1684	0.0
171	0.0
691	0.0
946	0.0
947	0.0
1172	0.0
1721	0.0
653	0.0
661	0.0
663	0.0
692	0.0
693	0.0
694	0.0
695	0.0
510	0.0
1633	0.0
1805	0.0
301	0.0
1531	0.0
1464	0.0
